i,j,value
0,0,50
0,1,45
0,2,49
0,3,48
0,4,49
0,5,43
0,6,43
0,7,44
0,8,47
0,9,42
0,10,50
0,11,41
0,12,42
0,13,42
0,14,48
1,0,41
1,1,46
1,2,40
1,3,46
1,4,44
1,5,48
1,6,44
1,7,42
1,8,42
1,9,49
1,10,44
1,11,40
1,12,45
1,13,47
1,14,42
2,0,40
2,1,42
2,2,45
2,3,49
2,4,40
2,5,50
2,6,49
2,7,50
2,8,44
2,9,47
2,10,49
2,11,48
2,12,45
2,13,41
2,14,45
3,0,48
3,1,43
3,2,42
3,3,48
3,4,41
3,5,48
3,6,42
3,7,46
3,8,48
3,9,48
3,10,46
3,11,41
3,12,45
3,13,43
3,14,43
4,0,50
4,1,45
4,2,45
4,3,45
4,4,44
4,5,43
4,6,49
4,7,48
4,8,47
4,9,48
4,10,50
4,11,40
4,12,41
4,13,50
4,14,45
5,0,47
5,1,43
5,2,50
5,3,49
5,4,49
5,5,43
5,6,40
5,7,50
5,8,45
5,9,46
5,10,41
5,11,46
5,12,44
5,13,48
5,14,44
6,0,40
6,1,48
6,2,45
6,3,48
6,4,48
6,5,47
6,6,47
6,7,40
6,8,44
6,9,50
6,10,43
6,11,45
6,12,48
6,13,41
6,14,41
7,0,42
7,1,48
7,2,48
7,3,40
7,4,50
7,5,41
7,6,43
7,7,50
7,8,50
7,9,43
7,10,50
7,11,46
7,12,41
7,13,43
7,14,48
8,0,46
8,1,50
8,2,41
8,3,50
8,4,42
8,5,40
8,6,47
8,7,45
8,8,40
8,9,41
8,10,41
8,11,40
8,12,42
8,13,44
8,14,48
9,0,41
9,1,49
9,2,43
9,3,44
9,4,46
9,5,46
9,6,47
9,7,50
9,8,46
9,9,46
9,10,45
9,11,40
9,12,46
9,13,50
9,14,41
10,0,48
10,1,40
10,2,50
10,3,49
10,4,41
10,5,49
10,6,40
10,7,41
10,8,45
10,9,48
10,10,41
10,11,44
10,12,50
10,13,44
10,14,49
11,0,41
11,1,44
11,2,47
11,3,46
11,4,46
11,5,50
11,6,40
11,7,47
11,8,42
11,9,48
11,10,43
11,11,42
11,12,46
11,13,48
11,14,44
