i,j,n,value
0,0,0,12.205845018010741
0,0,1,15.0
0,0,2,15.998334166468283
0,0,3,16.986693307950613
0,0,4,17.955202066613396
0,0,5,18.894183423086506
0,0,6,19.794255386042032
0,0,7,20.646424733950354
0,0,8,21.442176872376912
0,0,9,22.173560908995228
0,0,10,22.833269096274833
0,0,11,23.414709848078967
0,0,12,23.912073600614356
0,0,13,24.320390859672262
0,0,14,24.63558185417193
0,0,15,24.8544972998846
0,0,16,24.974949866040546
0,0,17,24.99573603041505
0,0,18,24.91664810452469
0,0,19,24.73847630878195
0,0,20,24.463000876874148
0,0,21,24.092974268256818
0,0,22,23.63209366648874
0,0,23,23.0849640381959
0,0,24,22.4570521217672
0,0,25,21.75463180551151
0,0,26,20.984721441039564
0,0,27,20.155013718214644
0,0,28,19.2737988023383
0,0,29,18.34988150155905
0,0,30,17.392493292139825
0,0,31,16.41120008059867
0,0,32,15.415806624332903
0,0,33,14.416258565724199
0,0,34,13.422543058567518
0,0,35,12.444588979731687
0,0,36,11.492167723103801
0,0,37,10.574795567051476
0,0,38,9.701638590915065
0,0,39,8.881421090572811
0,0,40,8.122338408160262
0,0,41,7.431975046920717
0,0,42,6.817228889355897
0,0,43,6.284242275864118
0,0,44,5.838340632505451
0,0,45,5.483979261104839
0,0,46,5.22469882334903
0,0,47,5.063089963665356
0,0,48,5.000767424358992
0,0,49,5.038353911641593
0,0,50,5.175473873756675
0,0,51,5.410757253368615
0,0,52,5.7418531767226755
0,0,53,6.165453442798468
0,0,54,6.677325577760987
0,0,55,7.2723551244401285
0,0,56,7.9445967442960805
0,0,57,8.687333621276784
0,0,58,9.493144574023624
0,0,59,10.353978205862425
0,1,0,6.102922509005371
0,1,1,7.5
0,1,2,7.999167083234141
0,1,3,8.493346653975307
0,1,4,8.977601033306698
0,1,5,9.447091711543253
0,1,6,9.897127693021016
0,1,7,10.323212366975177
0,1,8,10.721088436188456
0,1,9,11.086780454497614
0,1,10,11.416634548137417
0,1,11,11.707354924039484
0,1,12,11.956036800307178
0,1,13,12.160195429836131
0,1,14,12.317790927085966
0,1,15,12.4272486499423
0,1,16,12.487474933020273
0,1,17,12.497868015207525
0,1,18,12.458324052262345
0,1,19,12.369238154390976
0,1,20,12.231500438437074
0,1,21,12.046487134128409
0,1,22,11.81604683324437
0,1,23,11.54248201909795
0,1,24,11.2285260608836
0,1,25,10.877315902755756
0,1,26,10.492360720519782
0,1,27,10.077506859107322
0,1,28,9.63689940116915
0,1,29,9.174940750779525
0,1,30,8.696246646069913
0,1,31,8.205600040299336
0,1,32,7.707903312166452
0,1,33,7.2081292828620995
0,1,34,6.711271529283759
0,1,35,6.222294489865844
0,1,36,5.7460838615519005
0,1,37,5.287397783525738
0,1,38,4.850819295457533
0,1,39,4.4407105452864055
0,1,40,4.061169204080131
0,1,41,3.7159875234603583
0,1,42,3.4086144446779487
0,1,43,3.142121137932059
0,1,44,2.9191703162527256
0,1,45,2.7419896305524194
0,1,46,2.612349411674515
0,1,47,2.531544981832678
0,1,48,2.500383712179496
0,1,49,2.5191769558207966
0,1,50,2.5877369368783376
0,1,51,2.7053786266843076
0,1,52,2.8709265883613377
0,1,53,3.082726721399234
0,1,54,3.3386627888804936
0,1,55,3.6361775622200643
0,1,56,3.9722983721480403
0,1,57,4.343666810638392
0,1,58,4.746572287011812
0,1,59,5.176989102931213
0,2,0,6.102922509005371
0,2,1,7.5
0,2,2,7.999167083234141
0,2,3,8.493346653975307
0,2,4,8.977601033306698
0,2,5,9.447091711543253
0,2,6,9.897127693021016
0,2,7,10.323212366975177
0,2,8,10.721088436188456
0,2,9,11.086780454497614
0,2,10,11.416634548137417
0,2,11,11.707354924039484
0,2,12,11.956036800307178
0,2,13,12.160195429836131
0,2,14,12.317790927085966
0,2,15,12.4272486499423
0,2,16,12.487474933020273
0,2,17,12.497868015207525
0,2,18,12.458324052262345
0,2,19,12.369238154390976
0,2,20,12.231500438437074
0,2,21,12.046487134128409
0,2,22,11.81604683324437
0,2,23,11.54248201909795
0,2,24,11.2285260608836
0,2,25,10.877315902755756
0,2,26,10.492360720519782
0,2,27,10.077506859107322
0,2,28,9.63689940116915
0,2,29,9.174940750779525
0,2,30,8.696246646069913
0,2,31,8.205600040299336
0,2,32,7.707903312166452
0,2,33,7.2081292828620995
0,2,34,6.711271529283759
0,2,35,6.222294489865844
0,2,36,5.7460838615519005
0,2,37,5.287397783525738
0,2,38,4.850819295457533
0,2,39,4.4407105452864055
0,2,40,4.061169204080131
0,2,41,3.7159875234603583
0,2,42,3.4086144446779487
0,2,43,3.142121137932059
0,2,44,2.9191703162527256
0,2,45,2.7419896305524194
0,2,46,2.612349411674515
0,2,47,2.531544981832678
0,2,48,2.500383712179496
0,2,49,2.5191769558207966
0,2,50,2.5877369368783376
0,2,51,2.7053786266843076
0,2,52,2.8709265883613377
0,2,53,3.082726721399234
0,2,54,3.3386627888804936
0,2,55,3.6361775622200643
0,2,56,3.9722983721480403
0,2,57,4.343666810638392
0,2,58,4.746572287011812
0,2,59,5.176989102931213
0,3,0,12.205845018010741
0,3,1,15.0
0,3,2,15.998334166468283
0,3,3,16.986693307950613
0,3,4,17.955202066613396
0,3,5,18.894183423086506
0,3,6,19.794255386042032
0,3,7,20.646424733950354
0,3,8,21.442176872376912
0,3,9,22.173560908995228
0,3,10,22.833269096274833
0,3,11,23.414709848078967
0,3,12,23.912073600614356
0,3,13,24.320390859672262
0,3,14,24.63558185417193
0,3,15,24.8544972998846
0,3,16,24.974949866040546
0,3,17,24.99573603041505
0,3,18,24.91664810452469
0,3,19,24.73847630878195
0,3,20,24.463000876874148
0,3,21,24.092974268256818
0,3,22,23.63209366648874
0,3,23,23.0849640381959
0,3,24,22.4570521217672
0,3,25,21.75463180551151
0,3,26,20.984721441039564
0,3,27,20.155013718214644
0,3,28,19.2737988023383
0,3,29,18.34988150155905
0,3,30,17.392493292139825
0,3,31,16.41120008059867
0,3,32,15.415806624332903
0,3,33,14.416258565724199
0,3,34,13.422543058567518
0,3,35,12.444588979731687
0,3,36,11.492167723103801
0,3,37,10.574795567051476
0,3,38,9.701638590915065
0,3,39,8.881421090572811
0,3,40,8.122338408160262
0,3,41,7.431975046920717
0,3,42,6.817228889355897
0,3,43,6.284242275864118
0,3,44,5.838340632505451
0,3,45,5.483979261104839
0,3,46,5.22469882334903
0,3,47,5.063089963665356
0,3,48,5.000767424358992
0,3,49,5.038353911641593
0,3,50,5.175473873756675
0,3,51,5.410757253368615
0,3,52,5.7418531767226755
0,3,53,6.165453442798468
0,3,54,6.677325577760987
0,3,55,7.2723551244401285
0,3,56,7.9445967442960805
0,3,57,8.687333621276784
0,3,58,9.493144574023624
0,3,59,10.353978205862425
0,4,0,8.544091512607519
0,4,1,10.5
0,4,2,11.198833916527798
0,4,3,11.89068531556543
0,4,4,12.568641446629377
0,4,5,13.225928396160555
0,4,6,13.85597877022942
0,4,7,14.452497313765246
0,4,8,15.009523810663836
0,4,9,15.521492636296658
0,4,10,15.983288367392383
0,4,11,16.390296893655275
0,4,12,16.738451520430047
0,4,13,17.024273601770584
0,4,14,17.244907297920353
0,4,15,17.39814810991922
0,4,16,17.482464906228383
0,4,17,17.497015221290535
0,4,18,17.44165367316728
0,4,19,17.316933416147364
