i,j,n,value
0,0,0,900.0
0,0,1,0.0
0,0,2,15.0
0,0,3,30.0
0,0,4,45.0
0,0,5,60.0
0,0,6,75.0
0,0,7,90.0
0,0,8,105.0
0,0,9,120.0
0,0,10,135.0
0,0,11,150.0
0,0,12,165.0
0,0,13,180.0
0,0,14,195.0
0,0,15,210.0
0,0,16,225.0
0,0,17,240.0
0,0,18,255.0
0,0,19,270.0
0,0,20,285.0
0,0,21,300.0
0,0,22,315.0
0,0,23,330.0
0,0,24,345.0
0,0,25,360.0
0,0,26,375.0
0,0,27,390.0
0,0,28,405.0
0,0,29,420.0
0,0,30,435.0
0,0,31,450.0
0,0,32,465.0
0,0,33,480.0
0,0,34,495.0
0,0,35,510.0
0,0,36,525.0
0,0,37,540.0
0,0,38,555.0
0,0,39,570.0
0,0,40,585.0
0,0,41,600.0
0,0,42,615.0
0,0,43,630.0
0,0,44,645.0
0,0,45,660.0
0,0,46,675.0
0,0,47,690.0
0,0,48,705.0
0,0,49,720.0
0,0,50,735.0
0,0,51,750.0
0,0,52,765.0
0,0,53,780.0
0,0,54,795.0
0,0,55,810.0
0,0,56,825.0
0,0,57,840.0
0,0,58,855.0
0,0,59,870.0
0,1,0,720.0
0,1,1,0.0
0,1,2,12.0
0,1,3,24.0
0,1,4,36.0
0,1,5,48.0
0,1,6,60.0
0,1,7,72.0
0,1,8,84.0
0,1,9,96.0
0,1,10,108.0
0,1,11,120.0
0,1,12,132.0
0,1,13,144.0
0,1,14,156.0
0,1,15,168.0
0,1,16,180.0
0,1,17,192.0
0,1,18,204.0
0,1,19,216.0
0,1,20,228.0
0,1,21,240.0
0,1,22,252.0
0,1,23,264.0
0,1,24,276.0
0,1,25,288.0
0,1,26,300.0
0,1,27,312.0
0,1,28,324.0
0,1,29,336.0
0,1,30,348.0
0,1,31,360.0
0,1,32,372.0
0,1,33,384.0
0,1,34,396.0
0,1,35,408.0
0,1,36,420.0
0,1,37,432.0
0,1,38,444.0
0,1,39,456.0
0,1,40,468.0
0,1,41,480.0
0,1,42,492.0
0,1,43,504.0
0,1,44,516.0
0,1,45,528.0
0,1,46,540.0
0,1,47,552.0
0,1,48,564.0
0,1,49,576.0
0,1,50,588.0
0,1,51,600.0
0,1,52,612.0
0,1,53,624.0
0,1,54,636.0
0,1,55,648.0
0,1,56,660.0
0,1,57,672.0
0,1,58,684.0
0,1,59,696.0
0,2,0,900.0
0,2,1,0.0
0,2,2,15.0
0,2,3,30.0
0,2,4,45.0
0,2,5,60.0
0,2,6,75.0
0,2,7,90.0
0,2,8,105.0
0,2,9,120.0
0,2,10,135.0
0,2,11,150.0
0,2,12,165.0
0,2,13,180.0
0,2,14,195.0
0,2,15,210.0
0,2,16,225.0
0,2,17,240.0
0,2,18,255.0
0,2,19,270.0
0,2,20,285.0
0,2,21,300.0
0,2,22,315.0
0,2,23,330.0
0,2,24,345.0
0,2,25,360.0
0,2,26,375.0
0,2,27,390.0
0,2,28,405.0
0,2,29,420.0
0,2,30,435.0
0,2,31,450.0
0,2,32,465.0
0,2,33,480.0
0,2,34,495.0
0,2,35,510.0
0,2,36,525.0
0,2,37,540.0
0,2,38,555.0
0,2,39,570.0
0,2,40,585.0
0,2,41,600.0
0,2,42,615.0
0,2,43,630.0
0,2,44,645.0
0,2,45,660.0
0,2,46,675.0
0,2,47,690.0
0,2,48,705.0
0,2,49,720.0
0,2,50,735.0
0,2,51,750.0
0,2,52,765.0
0,2,53,780.0
0,2,54,795.0
0,2,55,810.0
0,2,56,825.0
0,2,57,840.0
0,2,58,855.0
0,2,59,870.0
0,3,0,840.0
0,3,1,0.0
0,3,2,14.0
0,3,3,28.0
0,3,4,42.0
0,3,5,56.0
0,3,6,70.0
0,3,7,84.0
0,3,8,98.0
0,3,9,112.0
0,3,10,126.0
0,3,11,140.0
0,3,12,154.0
