i,t,value
0,0,29
0,1,23
0,2,30
0,3,25
0,4,28
0,5,28
0,6,29
0,7,21
0,8,26
0,9,30
0,10,23
0,11,27
1,0,25
1,1,30
1,2,30
1,3,30
1,4,26
1,5,22
1,6,28
1,7,29
1,8,20
1,9,20
1,10,30
1,11,22
2,0,28
2,1,27
2,2,27
2,3,22
2,4,21
2,5,27
2,6,25
2,7,23
2,8,25
2,9,24
2,10,20
2,11,28
3,0,23
3,1,28
3,2,30
3,3,26
3,4,26
3,5,23
3,6,21
3,7,27
3,8,27
3,9,29
3,10,27
3,11,21
4,0,27
4,1,27
4,2,25
4,3,21
4,4,27
4,5,30
4,6,20
4,7,21
4,8,26
4,9,26
4,10,20
4,11,28
5,0,28
5,1,20
5,2,21
5,3,29
5,4,29
5,5,30
5,6,24
5,7,28
5,8,28
5,9,23
5,10,30
5,11,30
6,0,27
6,1,25
6,2,25
6,3,20
6,4,23
6,5,27
6,6,25
6,7,28
6,8,29
6,9,29
6,10,27
6,11,30
7,0,25
7,1,27
7,2,21
7,3,21
7,4,30
7,5,23
7,6,20
7,7,25
7,8,25
7,9,30
7,10,24
7,11,28
8,0,28
8,1,25
8,2,21
8,3,20
8,4,22
8,5,27
8,6,22
8,7,26
8,8,21
8,9,24
8,10,29
8,11,23
9,0,23
9,1,21
9,2,26
9,3,23
9,4,27
9,5,23
9,6,25
9,7,21
9,8,26
9,9,20
9,10,30
9,11,30
10,0,29
10,1,21
10,2,27
10,3,27
10,4,30
10,5,29
10,6,28
10,7,22
10,8,27
10,9,20
10,10,28
10,11,20
11,0,28
11,1,26
11,2,29
11,3,27
11,4,28
11,5,22
11,6,29
11,7,22
11,8,22
11,9,21
11,10,26
11,11,30
